"4202cdca-9176-4b6c-aced-745f90741712","9a55a8c6-5da0-4ac1-8527-dad2776c6db6","N","N",15.3
"90cda708-b57d-4195-b30d-627e9f99ea36","72a12e94-fbce-437f-a774-df9aa9ce3639","N","H",39.1
"e4bd8e79-59c2-42c1-be9a-34c9d5c61f18","d3491a80-9973-4a3a-954c-89dfe686af02","N","N",8.4
"267c8126-b658-426a-99e8-44b553828790","4aa5d121-8b96-4bc5-b1bf-09d98b918f75","N","N",16.2
"efd334e2-576a-4d92-9cb9-755ec7de04d7","b2454709-913e-4a35-9cc1-397010209bc0","N","CH",42.9
"9d51fd62-1b0d-45b6-b68a-4b121bd27dff","019e9d60-ac50-4e33-b6dd-391248119707","N","H",43.2
"fe1f5ee8-5684-4bc8-a473-fed319639769","08fd9b1e-95fe-4ef5-bed9-ec4181a32996","Y","TH",40
"f04af1b4-ba3e-43cb-bad9-d1006988f7e8","b93a3e26-c70e-45e1-acfa-538fe9d546c2","N","CH",44.4
"a61905ba-b22b-48aa-9a73-1dd2ef0df980","fb94800f-172f-48f3-b734-55fcdf451e3f","N","N",12.1
"5b1c521f-e004-416a-bf4f-2d4ff704e30d","58cc6402-95ac-4a08-bd98-71fe45a2ca46","N","N",5
"f151cd0a-f56e-4fec-843e-4c577d45c48f","68aba14b-ead7-4c42-989e-cba5f4ee5d44","Y","A",19.1
"0c300901-bdb4-4965-8514-31b66e7c86ac","b2454709-913e-4a35-9cc1-397010209bc0","Y","LCT",9.6
"0c0387a4-a606-47b9-841a-4aeb1cd83688","a2b12490-e469-4590-973d-5fb3b2a49c38","Y","N",6.5
"bf491d4b-fdd5-447e-91bb-7c6e8167147e","7a408acc-7951-4f26-b1b2-c44913a18781","N","N",11.8
"7453e7be-7471-4d9a-9e20-f91ffdbbd19c","a3482c73-ac30-4cdb-aaa1-f5a94e77c62c","N","H",24.3
"e7d2cb0e-5df7-428d-8d18-4cc298cfb423","6f87d140-bf0e-4776-a829-60c0fec8c8fd","N","LW",20
"5af7a198-d7d0-4025-8387-a4825828b85a","a2b12490-e469-4590-973d-5fb3b2a49c38","N","W",15.3
"8a17feb4-4c56-47c5-86f7-621157067688","15cb8568-e3a6-47aa-97a8-571533e981f3","N","L",13.2
"01d5e96a-684c-48bd-afd9-9df0ebcb6c62","57626176-dcb8-461b-9064-afb9f5e90f97","N","H",40.1
"caf39270-78ca-4881-b7d0-ce44165c837c","617f3bed-f987-4cdf-ac70-00bc77f80da9","N","H",38.8
"78696b39-e03b-49b0-be09-bdb8f89af67d","772eb51c-cd33-4469-b9e1-39beaf895bf8","Y","N",5
"d37fb53e-d06e-4912-9290-ae7541b5312c","019e9d60-ac50-4e33-b6dd-391248119707","N","A",5
"d5bb42c7-12db-4875-8c27-f0da0a3d0257","a14463fa-9a7c-4e79-b37b-6d48b43bcec7","N","N",6.7
"c26cb293-a897-4887-9ed5-2d3e9cc44c60","37cb5035-6e81-4a90-aa28-6f56a8d5f85b","N","L",13
"93285f3b-faea-4908-945d-5417bcd49c73","44cf8126-5b10-4ef5-8775-d346dd268df5","N","LC",8.8
"17158d9f-ccd7-4dac-b81c-03e0a42e31c3","4888ed61-da7a-4fb5-92e6-9c71d8cf63ba","N","H",25.2
"d2b2a0d5-bb6e-4422-87b8-28a329fa5455","68aba14b-ead7-4c42-989e-cba5f4ee5d44","N","A",6.7
"1ccc4c2b-e9de-441d-a670-4062d39b118a","a3482c73-ac30-4cdb-aaa1-f5a94e77c62c","N","C",9.4
"8f4ab51a-fbbf-4e0f-8802-f64f7a3e601c","42f8dde7-73c7-440a-8761-89351f93f801","N","H",43.8
"fd65bd9a-5bae-4740-943d-cac10b89febe","3cbe7e66-77cc-4fcf-86dc-5ff5f1e2ad96","N","N",20.2
"5731ff16-6e76-4947-abce-f1fbbb68f936","4203f4a9-1fe9-4a70-858f-a054f809690f","Y","LTW",8.4
"07ccb967-6802-45a2-8148-f4b38170363e","eac7a4d0-0553-4ffa-b0e2-aa62d58c53e9","N","N",10.5
"87c30225-c890-4e32-a434-b33d9c3ce6af","6ffe7f32-c459-4d5e-8890-f90840cba8d9","N","LC",5.2
"0f4d351d-1be5-454e-bca5-25e4f034ca73","a3482c73-ac30-4cdb-aaa1-f5a94e77c62c","N","N",8.2
"36cdc861-5370-472e-9e7c-1f605b5a6996","f7c6c6fb-4045-4d03-a5c9-7db6941a287e","N","W",6.5
"483aecd2-81eb-4a24-b4f8-3dafa619be4e","b2a09846-340e-4d7f-849b-0d640bd5a6a0","N","L",14.3
"01d5e96a-684c-48bd-afd9-9df0ebcb6c62",null,null,null,null
"01d5e96a-684c-48bd-afd9-9df0ebcb6c62",null,null,null,null
"01d5e96a-684c-48bd-afd9-9df0ebcb6c62",null,null,null,null
"01d5e96a-684c-48bd-afd9-9df0ebcb6c62",null,null,null,null
